chain,chain_id,recipient_address,recipient_kind,can_receive_erc721,contract_label,safe_version,body_receipts,direct_asset_receipts,total_receipts,example_assets,on_erc721_received_result
Base,8453,0x96D087aba8552A0e111D7fB4Feb2e7621213E244,EOA/no-code,n/a,,,6,0,6,Orange body V4 3000000003; Original body V4 4000000060; Original body V4 4000000061; Original body V4 4000000062; Original body V4 4000000063; Original body V4 4000000064,
Base,8453,0x99Fa48ccEa8a38CDE6B437450fF9bBdDAFAA4Fc8,contract,true,ERC721 receiver-capable contract,,1,2,3,Original body V4 4000000055; V4 31000000003; V4 47000000004,0x150b7a0200000000000000000000000000000000000000000000000000000000
Base,8453,0xa13d49fCbf79EAF6A0a58cBDD3361422DB4eAfF1,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000050,
Base,8453,0xAAeD9fFF9858d48925904E391B77892BA5Fda824,contract,true,Safe wallet,1.3.0,2,0,2,Orange body V4 3000000006; Original body V4 4000000002,0x150b7a0200000000000000000000000000000000000000000000000000000000
Base,8453,0xAcD59e854adf632d2322404198624F757C868C97,EOA/no-code,n/a,,,2,0,2,Original body V4 4000000048; Original body V4 4000000049,
Base,8453,0xaECD6D9172d602b93dBA3981991268b44af8096e,EOA/no-code,n/a,,,1,4,5,Original body V4 4000000083; V4 11000000002; V4 19000000010; V4 24000000001; V4 34000000001,
Base,8453,0xb6ECb51e3638Eb7aa0C6289ef058DCa27494Acb2,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000056,
Base,8453,0xbeC26FFa12c90217943D1b2958f60A821aE6E549,EOA/no-code,n/a,,,1,2,3,Original body V4 4000000052; V4 19000000004; V4 44000000003,
Base,8453,0xC5704f77f94087CC644d361A5A57295851d242aB,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000054,
Base,8453,0xd2e44E40B5FB960A8A74dD7B9D6b7f14B805b50d,contract,true,ERC721 receiver-capable contract,,1,0,1,Original body V4 4000000094,0x150b7a0200000000000000000000000000000000000000000000000000000000
Base,8453,0xDdB4938755C243a4f60a2f2f8f95dF4F894c58Cc,contract,true,Safe wallet,1.3.0,1,0,1,Original body V4 4000000089,0x150b7a0200000000000000000000000000000000000000000000000000000000
Base,8453,0xDf087B724174A3E4eD2338C0798193932E851F1b,contract,true,Safe wallet,1.3.0,1,0,1,Orange body V4 3000000007,0x150b7a0200000000000000000000000000000000000000000000000000000000
Base,8453,0xF6cC71878e23c05406B35946CD9d378E0f2f4f2F,contract,true,ERC721 receiver-capable contract,,1,0,1,Original body V4 4000000093,0x150b7a0200000000000000000000000000000000000000000000000000000000
Base,8453,0xf7253A0E87E39d2cD6365919D4a3D56D431D0041,EOA/no-code,n/a,,,43,26,69,Pink body V4 2000000001; Original body V4 4000000003; Original body V4 4000000004; Original body V4 4000000005; Original body V4 4000000006; Original body V4 4000000007,
Base,8453,0xFB46349c0A3F04150E8c731B3A4fC415b0850CE3,EOA/no-code,n/a,,,1,3,4,Original body V4 4000000047; V4 10000000002; V4 25000000003; V4 47000000002,
Base,8453,0xFd37f4625CA5816157D55a5b3F7Dd8DD5F8a0C2F,EOA/no-code,n/a,,,3,3,6,Pink body V4 2000000003; Orange body V4 3000000009; Original body V4 4000000084; V4 11000000003; V4 35000000003; V4 38000000003,
Arbitrum,42161,0x08B3e694caA2F1fcF8eF71095CED1326f3454B89,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000003,
Arbitrum,42161,0x187089B33E5812310Ed32A57F53B3fAD0383a19D,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000005,
Arbitrum,42161,0x1C51517d8277C9aD6d701Fb5394ceC0C18219eDb,contract,true,Safe wallet,1.3.0,1,2,3,Original body V4 4000000001; V4 19000000002; V4 49000000001,0x150b7a0200000000000000000000000000000000000000000000000000000000
Arbitrum,42161,0x2aa64E6d80390F5C017F0313cB908051BE2FD35e,EOA/no-code,n/a,,,1,0,1,Orange body V4 3000000001,
Arbitrum,42161,0x57a482EA32c7F75A9C0734206f5BD4f9BCb38e12,EOA/no-code,n/a,,,2,2,4,Original body V4 4000000008; Original body V4 4000000009; V4 19000000004; V4 31000000002,
Arbitrum,42161,0x7C3F14075F6477fea1aF6cf59f325afDfcD3Ddf7,EOA/no-code,n/a,,,1,172,173,Orange body V4 3000000002; V4 5000000003; V4 32000000001; V4 39000000001; V4 47000000002; V4 47000000003,
Arbitrum,42161,0x9fDf876a50EA8f95017dCFC7709356887025B5BB,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000004,
Arbitrum,42161,0xB2d3900807094D4Fe47405871B0C8AdB58E10D42,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000007,
Arbitrum,42161,0xc6404f24DB2f573F07F3A60758765caad198c0c3,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000006,
Arbitrum,42161,0xfD282d9f4d06C4BDc6a41af1Ae920A0AD70D18a3,EOA/no-code,n/a,,,1,0,1,Original body V4 4000000002,
